Team 1,Team 2,Ground,Host_Country,Venue_Team1,Venue_Team2,Winner
Australia,Pakistan,Melbourne,Australia,0,1,Pakistan
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Pakistan,West Indies,Sydney,Australia,2,2,West Indies
Australia,Pakistan,Sydney,Australia,0,1,Australia
Pakistan,West Indies,Brisbane,Australia,2,2,West Indies
Australia,West Indies,Brisbane,Australia,0,1,West Indies
Australia,West Indies,Sydney,Australia,0,1,Australia
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,West Indies,Sydney,Australia,0,1,Australia
Australia,West Indies,Sydney,Australia,0,1,West Indies
India,England,Cuttack,India,0,1,India
New Zealand,Australia,Auckland,New Zealand,0,1,New Zealand
Sri Lanka,England,Colombo,Sri Lanka,0,1,England
Sri Lanka,England,Colombo,Sri Lanka,0,1,Sri Lanka
New Zealand,Australia,Dunedin,New Zealand,0,1,Australia
New Zealand,Australia,Wellington,New Zealand,0,1,Australia
Pakistan,Sri Lanka,Karachi,Pakistan,0,1,Pakistan
Pakistan,Sri Lanka,Lahore,Pakistan,0,1,Sri Lanka
Pakistan,Sri Lanka,Karachi,Pakistan,0,1,Pakistan
England,India,Leeds,England,0,1,England
England,India,The Oval,England,0,1,England
England,Pakistan,Nottingham,England,0,1,England
England,Pakistan,Manchester,England,0,1,England
India,Sri Lanka,Amritsar,India,0,1,India
India,Sri Lanka,Delhi,India,0,1,India
Pakistan,Australia,Hyderabad,India,2,2,Pakistan
India,Sri Lanka,Bengaluru,India,0,1,India
Pakistan,Australia,Lahore,Pakistan,0,1,Pakistan
Pakistan,India,Gujranwala,Pakistan,0,1,Pakistan
Pakistan,India,Multan,Pakistan,0,1,Pakistan
Pakistan,India,Lahore,Pakistan,0,1,India
Australia,New Zealand,Melbourne,Australia,0,1,Australia
Australia,England,Sydney,Australia,0,1,Australia
England,New Zealand,Melbourne,Australia,2,2,New Zealand
England,New Zealand,Brisbane,Australia,2,2,England
Australia,England,Brisbane,Australia,0,1,Australia
Australia,New Zealand,Sydney,Australia,0,1,New Zealand
England,New Zealand,Sydney,Australia,2,2,England
Pakistan,India,Karachi,Pakistan,0,1,Pakistan
Australia,New Zealand,Melbourne,Australia,0,1,New Zealand
Australia,England,Melbourne,Australia,0,1,Australia
Australia,England,Sydney,Australia,0,1,England
England,New Zealand,Adelaide,Australia,2,2,New Zealand
Australia,England,Adelaide,Australia,0,1,England
Australia,New Zealand,Adelaide,Australia,0,1,New Zealand
England,New Zealand,Perth,Australia,2,2,New Zealand
Australia,New Zealand,Perth,Australia,0,1,Australia
Australia,New Zealand,Sydney,Australia,0,1,Australia
Australia,New Zealand,Melbourne,Australia,0,1,Australia
New Zealand,England,Auckland,New Zealand,0,1,New Zealand
New Zealand,England,Wellington,New Zealand,0,1,New Zealand
New Zealand,England,Christchurch,New Zealand,0,1,New Zealand
New Zealand,Sri Lanka,Dunedin,New Zealand,0,1,New Zealand
West Indies,India,Port of Spain,West Indies,0,1,West Indies
Australia,New Zealand,Sydney,Australia,0,1,New Zealand
New Zealand,Sri Lanka,Napier,New Zealand,0,1,New Zealand
New Zealand,Sri Lanka,Auckland,New Zealand,0,1,New Zealand
West Indies,India,Albion,West Indies,0,1,India
West Indies,India,St George's,West Indies,0,1,West Indies
Sri Lanka,Australia,Colombo,Sri Lanka,0,1,Sri Lanka
Sri Lanka,Australia,Colombo,Sri Lanka,0,1,Sri Lanka
England,New Zealand,The Oval,England,0,1,England
Pakistan,Sri Lanka,Swansea,England,2,2,Pakistan
Australia,Zimbabwe,Nottingham,England,2,2,Zimbabwe
India,West Indies,Manchester,England,2,2,India
England,Sri Lanka,Taunton,England,0,1,England
New Zealand,Pakistan,Birmingham,England,2,2,New Zealand
Australia,West Indies,Leeds,England,2,2,West Indies
India,Zimbabwe,Leicester,England,2,2,India
England,Pakistan,Lord's,England,0,1,England
New Zealand,Sri Lanka,Bristol,England,2,2,New Zealand
Australia,India,Nottingham,England,2,2,Australia
West Indies,Zimbabwe,Worcester,England,2,2,West Indies
England,New Zealand,Birmingham,England,0,1,New Zealand
India,West Indies,The Oval,England,2,2,West Indies
Pakistan,Sri Lanka,Leeds,England,2,2,Pakistan
Australia,Zimbabwe,Southampton,England,2,2,Australia
England,Pakistan,Manchester,England,0,1,England
New Zealand,Sri Lanka,Derby,England,2,2,Sri Lanka
Australia,West Indies,Lord's,England,2,2,West Indies
India,Zimbabwe,Tunbridge Wells,England,2,2,India
England,Sri Lanka,Leeds,England,0,1,England
New Zealand,Pakistan,Nottingham,England,2,2,Pakistan
Australia,India,Chelmsford,England,2,2,India
West Indies,Zimbabwe,Birmingham,England,2,2,West Indies
England,India,Manchester,England,0,1,India
Pakistan,West Indies,The Oval,England,2,2,West Indies
India,West Indies,Lord's,England,2,2,India
India,Pakistan,Hyderabad,India,0,1,India
India,Pakistan,Jaipur,India,0,1,India
India,West Indies,Srinagar,India,0,1,West Indies
India,West Indies,Vadodara,India,0,1,West Indies
India,West Indies,Indore,India,0,1,West Indies
India,West Indies,Jamshedpur,India,0,1,West Indies
India,West Indies,Guwahati,India,0,1,West Indies
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,Pakistan,Sydney,Australia,0,1,Australia
Pakistan,West Indies,Melbourne,Australia,2,2,Pakistan
Pakistan,West Indies,Brisbane,Australia,2,2,West Indies
Australia,West Indies,Sydney,Australia,0,1,West Indies
Pakistan,West Indies,Sydney,Australia,2,2,West Indies
Australia,Pakistan,Melbourne,Australia,0,1,Australia
Australia,West Indies,Melbourne,Australia,0,1,West Indies
Australia,Pakistan,Sydney,Australia,0,1,Australia
Pakistan,West Indies,Adelaide,Australia,2,2,West Indies
Australia,West Indies,Adelaide,Australia,0,1,West Indies
Australia,Pakistan,Adelaide,Australia,0,1,Australia
Pakistan,West Indies,Perth,Australia,2,2,West Indies
Australia,West Indies,Perth,Australia,0,1,Australia
Australia,West Indies,Sydney,Australia,0,1,West Indies
Australia,West Indies,Melbourne,Australia,0,1,West Indies
New Zealand,England,Christchurch,New Zealand,0,1,England
New Zealand,England,Wellington,New Zealand,0,1,England
New Zealand,England,Auckland,New Zealand,0,1,New Zealand
West Indies,Australia,Albion,West Indies,0,1,West Indies
Sri Lanka,New Zealand,Colombo,Sri Lanka,0,1,New Zealand
Pakistan,England,Lahore,Pakistan,0,1,Pakistan
West Indies,Australia,Port of Spain,West Indies,0,1,Australia
Pakistan,England,Karachi,Pakistan,0,1,England
Sri Lanka,New Zealand,Moratuwa,Sri Lanka,0,1,Sri Lanka
Sri Lanka,New Zealand,Colombo,Sri Lanka,0,1,New Zealand
Pakistan,Sri Lanka,Sharjah,U.A.E.,2,2,Sri Lanka
India,Sri Lanka,Sharjah,U.A.E.,2,2,India
India,Pakistan,Sharjah,U.A.E.,2,2,India
West Indies,Australia,Castries,West Indies,0,1,West Indies
West Indies,Australia,Kingston,West Indies,0,1,West Indies
England,West Indies,Manchester,England,0,1,West Indies
England,West Indies,Nottingham,England,0,1,England
England,West Indies,Lord's,England,0,1,West Indies
India,Australia,New Delhi,,2,2,Australia
India,Australia,Ahmedabad,India,0,1,Australia
India,Australia,Indore,India,0,1,Australia
Pakistan,India,Quetta,Pakistan,0,1,Pakistan
Sri Lanka,New Zealand,Colombo,Sri Lanka,0,1,Sri Lanka
Sri Lanka,New Zealand,Moratuwa,Sri Lanka,0,1,New Zealand
Pakistan,New Zealand,Peshawar,Pakistan,0,1,Pakistan
Pakistan,New Zealand,Faisalabad,Pakistan,0,1,Pakistan
Pakistan,New Zealand,Sialkot,Pakistan,0,1,New Zealand
India,England,Pune,India,0,1,England
Pakistan,New Zealand,Multan,Pakistan,0,1,Pakistan
India,England,Cuttack,India,0,1,England
