timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169077.843,76.172,34.180,20.996,65.918,72.266
1560169077.847,57.129,32.227,20.020,35.645,87.402
1560169077.851,47.852,32.715,18.066,26.367,22.949
1560169077.855,41.992,35.645,19.531,32.227,-1.953
1560169077.858,59.570,38.574,19.531,52.734,23.438
1560169077.862,62.500,40.039,20.508,56.641,74.219
1560169077.866,40.527,40.039,20.996,33.691,64.453
1560169077.870,36.621,38.574,20.996,30.273,5.859
1560169077.874,30.762,37.109,24.902,31.250,31.250
1560169077.878,45.410,36.133,23.926,45.898,80.566
1560169077.882,56.641,35.156,20.996,56.152,82.031
1560169077.886,35.156,34.180,20.508,36.133,44.434
1560169077.890,29.297,33.691,21.484,24.414,13.672
1560169077.894,25.391,33.203,23.926,22.949,54.688
1560169077.897,38.574,33.691,26.855,45.898,74.219
1560169077.901,58.105,34.668,25.879,66.406,43.457
1560169077.905,47.852,36.133,25.879,44.434,-9.277
1560169077.909,42.969,35.156,29.297,30.762,-41.504
1560169077.913,40.527,32.227,28.809,28.809,-13.184
1560169077.917,48.828,36.621,26.367,38.574,10.742
1560169077.921,62.988,39.551,22.949,54.199,-16.113
1560169077.925,41.504,38.574,23.926,30.273,5.371
1560169077.929,25.879,37.598,25.391,14.648,32.715
1560169077.933,20.020,35.156,27.344,8.301,0.488
1560169077.937,19.043,38.086,27.344,3.906,18.555
1560169077.940,24.902,39.551,25.879,5.371,67.383
1560169077.944,3.418,35.645,25.879,-15.625,57.129
1560169077.948,-3.906,32.715,25.391,-27.344,10.254
1560169077.952,-12.207,34.180,26.367,-31.738,2.441
1560169077.956,-36.133,34.668,28.809,-47.363,23.926
1560169077.960,-29.297,32.227,31.738,-34.180,24.414
1560169077.964,-41.504,27.832,33.691,-39.062,-3.418
1560169077.968,-54.199,27.344,29.297,-53.223,10.254
1560169077.972,-58.105,30.273,28.320,-57.129,22.461
1560169077.976,-59.570,31.738,27.344,-55.664,0.000
1560169077.980,-28.320,31.250,26.855,-22.949,47.852
1560169077.983,-26.855,30.273,26.367,-29.297,77.148
1560169077.987,-38.574,32.227,20.996,-49.316,15.625
1560169077.991,-27.344,33.203,18.555,-35.156,22.949
1560169077.995,-20.508,31.250,22.461,-18.066,27.344
