timestamps,TP9,AF7,AF8,TP10,Right AUX
1560179498.753,-8.301,37.109,-27.832,3.906,23.926
1560179498.757,0.977,36.621,-26.367,10.742,15.625
1560179498.761,0.000,34.668,-22.949,14.160,20.508
1560179498.765,-1.465,31.738,-25.391,5.859,91.309
1560179498.769,-2.930,36.133,-23.438,4.883,50.293
1560179498.773,0.488,39.062,-12.695,10.742,-27.832
1560179498.777,2.930,36.133,-11.719,14.648,3.906
1560179498.781,0.488,41.016,-16.602,16.602,36.621
1560179498.785,-3.418,43.945,-17.578,13.672,69.824
1560179498.789,-3.906,45.410,-14.160,11.230,62.500
1560179498.792,-2.441,45.898,-13.672,9.277,47.363
1560179498.796,3.418,47.363,-18.066,15.625,79.590
1560179498.800,9.277,46.875,-20.508,19.531,44.434
1560179498.804,7.812,43.945,-20.020,15.137,31.250
1560179498.808,8.789,45.410,-16.113,18.555,68.848
1560179498.812,13.184,46.387,-16.602,26.855,37.598
1560179498.816,14.160,45.898,-3.906,25.391,21.484
1560179498.820,10.254,47.852,11.230,25.391,-12.695
1560179498.824,11.230,49.805,16.602,30.273,48.828
1560179498.828,14.160,47.852,20.020,28.809,69.824
1560179498.832,15.137,45.410,21.973,30.273,21.973
1560179498.835,17.578,45.410,22.949,36.621,18.066
1560179498.839,15.137,46.387,21.484,31.738,29.785
1560179498.843,13.184,44.922,19.531,22.949,30.273
1560179498.847,8.301,45.410,15.137,20.508,0.000
1560179498.851,9.766,45.898,15.137,18.555,-8.301
1560179498.855,10.254,45.898,21.484,18.066,9.766
1560179498.859,-0.488,46.875,30.273,9.766,61.523
1560179498.863,-3.418,44.922,30.762,1.465,21.484
1560179498.867,-5.859,40.527,25.879,1.953,1.953
1560179498.871,-7.324,38.574,26.367,4.395,49.805
1560179498.875,-0.977,41.016,26.367,5.859,27.344
1560179498.878,0.977,39.551,29.785,4.883,72.266
1560179498.882,4.883,35.156,32.715,5.371,116.211
1560179498.886,5.859,36.621,30.273,10.742,42.969
1560179498.890,1.465,37.598,28.320,14.160,-2.441
1560179498.894,4.395,34.668,28.320,11.230,21.973
1560179498.898,10.742,39.062,24.414,18.555,30.762
1560179498.902,8.789,37.109,21.973,17.578,-0.977
1560179498.906,1.953,31.250,20.996,8.301,-20.996
1560179498.910,-2.441,35.645,23.438,14.648,-66.895
1560179498.914,1.953,41.016,26.367,16.113,-37.598
1560179498.917,5.371,39.551,25.879,14.160,27.344
1560179498.921,-0.977,34.180,22.949,15.137,15.625
1560179498.925,-4.883,33.691,17.090,10.254,12.207
1560179498.929,-2.930,31.738,10.742,5.859,59.570
1560179498.933,-4.395,32.227,5.859,7.324,75.195
1560179498.937,6.836,36.133,4.883,15.625,7.812
1560179498.941,11.719,40.039,-1.465,22.461,-36.621
1560179498.945,7.324,41.504,-0.977,20.508,1.953
1560179498.949,5.371,40.527,8.301,24.414,7.324
1560179498.953,7.812,41.504,14.648,29.785,6.348
1560179498.957,15.625,41.992,15.137,24.902,65.430
1560179498.960,14.160,37.598,16.602,20.508,-4.395
1560179498.964,7.324,37.598,17.090,18.066,-22.949
1560179498.968,3.906,37.598,13.184,17.578,51.758
1560179498.972,7.812,37.109,14.160,14.160,73.730
1560179498.976,16.113,40.527,13.184,16.113,68.848
1560179498.980,18.555,38.574,10.742,20.996,78.613
1560179498.984,12.695,38.086,14.160,17.090,17.090
1560179498.988,13.672,43.945,19.531,21.484,-31.738
1560179498.992,17.090,44.922,25.391,21.484,-2.930
1560179498.996,18.555,42.969,31.250,22.461,40.039
1560179498.999,17.090,43.945,29.297,20.020,16.113
1560179499.003,7.812,45.410,24.902,16.602,-36.621
1560179499.007,-1.953,42.969,22.461,12.695,-14.160
1560179499.011,-0.488,43.457,23.438,10.254,27.344
1560179499.015,4.883,44.922,27.832,14.648,-10.254
1560179499.019,3.906,40.527,26.367,11.719,-27.344
1560179499.023,-1.465,41.504,24.414,12.695,-12.207
1560179499.027,-4.883,42.969,20.996,12.695,-27.344
1560179499.031,-2.441,37.598,23.438,12.695,17.578
1560179499.035,5.859,33.691,25.879,17.090,48.828
1560179499.039,10.742,34.180,26.855,21.484,15.625
1560179499.042,-0.488,30.762,24.414,15.137,54.199
1560179499.046,-2.930,26.367,18.555,16.602,8.301
1560179499.050,0.488,28.809,19.043,16.113,-26.367
1560179499.054,2.441,33.691,22.949,14.648,21.973
1560179499.058,9.766,33.691,19.531,26.367,23.926
1560179499.062,17.090,33.203,24.902,25.879,48.340
1560179499.066,14.648,34.180,30.273,15.137,12.207
1560179499.070,16.113,36.621,27.344,16.602,2.441
1560179499.074,20.996,40.039,29.785,24.414,72.266
1560179499.078,19.531,38.086,30.273,22.461,31.250
1560179499.082,14.648,36.621,29.785,16.113,-6.348
1560179499.085,10.254,36.133,29.785,12.207,22.461
1560179499.089,2.930,37.598,30.762,12.695,18.555
1560179499.093,3.906,38.086,32.227,16.602,42.969
1560179499.097,6.836,36.621,31.738,9.766,64.453
1560179499.101,5.859,39.551,29.785,6.836,14.160
1560179499.105,2.930,39.551,25.879,9.766,67.871
1560179499.109,0.000,37.598,23.438,10.254,125.488
1560179499.113,9.277,39.062,23.438,8.301,47.363
1560179499.117,7.812,40.527,23.438,4.883,-11.230
1560179499.121,1.953,40.527,22.461,14.160,46.875
1560179499.124,5.371,39.062,17.578,15.625,52.246
1560179499.128,0.977,35.645,12.207,12.207,39.551
1560179499.132,3.418,36.621,11.230,16.602,53.223
1560179499.136,13.184,38.574,13.184,20.996,40.527
1560179499.140,14.160,38.574,19.531,20.020,13.184
1560179499.144,9.277,38.574,29.785,18.555,46.875
1560179499.148,3.906,38.574,30.273,17.090,71.777
1560179499.152,10.254,36.621,23.438,14.648,33.691
1560179499.156,19.043,34.668,20.020,18.555,26.855
1560179499.160,16.113,36.133,16.113,18.555,21.484
1560179499.164,10.254,35.645,13.184,13.672,26.855
1560179499.167,3.906,37.109,6.836,16.113,81.055
1560179499.171,6.836,37.109,-3.418,18.555,111.816
1560179499.175,10.742,34.668,-4.883,19.531,83.984
1560179499.179,10.254,34.180,-5.371,14.648,86.914
1560179499.183,2.930,29.785,-6.348,9.277,91.309
1560179499.187,-2.930,26.367,-7.812,8.301,83.008
1560179499.191,0.488,29.297,-5.859,6.348,29.297
1560179499.195,1.465,26.855,-1.953,3.906,-26.855
1560179499.199,6.836,26.855,-3.418,4.883,20.508
1560179499.203,6.836,30.762,-3.906,5.859,14.648
1560179499.207,1.953,31.738,-0.488,7.324,-14.648
1560179499.210,5.371,33.691,4.395,13.184,14.160
1560179499.214,14.648,35.156,9.277,7.812,37.598
1560179499.218,20.508,33.691,16.113,3.418,30.273
1560179499.222,20.020,37.109,20.996,11.230,5.859
1560179499.226,12.695,39.062,24.414,11.230,29.297
1560179499.230,9.766,40.039,26.855,12.695,40.039
1560179499.234,11.719,42.480,28.809,20.508,7.812
1560179499.238,7.324,43.457,30.273,19.043,23.926
1560179499.242,9.766,46.875,25.391,21.973,66.406
1560179499.246,6.348,46.875,19.043,21.973,24.414
1560179499.249,4.395,40.527,20.996,18.555,-5.859
1560179499.253,8.301,41.504,30.273,24.414,80.078
1560179499.257,8.301,42.969,29.297,25.879,96.191
1560179499.261,9.766,40.527,28.320,26.855,60.059
1560179499.265,5.859,41.992,34.668,22.949,44.922
1560179499.269,7.812,43.457,34.180,24.902,25.879
1560179499.273,14.160,46.875,32.715,25.391,10.742
1560179499.277,13.672,45.898,35.645,24.414,62.012
1560179499.281,8.301,40.527,39.551,27.344,20.020
1560179499.285,2.441,42.480,40.039,20.508,-8.301
1560179499.289,4.883,44.434,37.109,16.113,18.555
1560179499.292,4.395,41.016,34.668,17.090,0.000
1560179499.296,2.930,41.992,30.762,15.137,-38.086
1560179499.300,0.488,44.434,29.785,14.648,-14.648
1560179499.304,-6.836,43.945,30.273,12.695,30.273
1560179499.308,-8.301,44.434,28.320,9.277,7.324
1560179499.312,-3.906,44.434,30.762,9.766,30.762
1560179499.316,6.348,43.945,33.203,7.812,20.020
1560179499.320,3.906,42.480,25.879,6.836,-31.738
1560179499.324,-2.930,41.504,22.949,11.230,27.832
1560179499.328,-3.906,41.992,28.320,7.324,28.320
1560179499.332,0.977,42.480,25.879,7.324,-9.766
1560179499.335,1.465,41.992,23.926,8.301,-2.930
1560179499.339,1.465,41.992,26.367,9.277,50.781
1560179499.343,4.883,41.016,23.926,14.160,46.875
1560179499.347,1.465,38.086,20.020,13.672,-17.090
1560179499.351,3.418,38.086,20.020,12.207,-17.578
1560179499.355,4.883,40.527,22.461,9.766,10.254
1560179499.359,6.348,38.574,23.926,14.160,11.230
1560179499.363,7.812,39.551,24.414,18.555,50.293
1560179499.367,2.930,41.504,27.344,17.090,32.227
1560179499.371,2.441,40.527,29.297,10.742,32.715
1560179499.374,9.277,38.086,28.320,14.160,69.824
1560179499.378,4.395,38.086,27.832,13.672,92.773
1560179499.382,7.324,39.062,25.879,11.230,73.242
1560179499.386,9.766,41.016,30.762,15.625,-2.930
1560179499.390,3.906,43.945,34.668,8.301,27.344
1560179499.394,6.348,46.875,37.109,10.254,62.012
1560179499.398,11.230,48.340,41.504,16.113,45.898
1560179499.402,11.719,47.852,41.016,9.766,45.410
1560179499.406,9.277,51.270,42.480,18.555,14.648
1560179499.410,7.324,50.781,43.945,20.508,15.137
1560179499.414,12.695,48.340,46.875,14.160,52.734
1560179499.417,6.348,45.898,53.711,15.137,1.953
1560179499.421,-10.254,46.387,54.199,11.230,-22.949
1560179499.425,-5.371,46.875,52.734,5.859,24.902
1560179499.429,-5.371,44.434,51.758,0.488,21.484
1560179499.433,-13.672,42.969,51.758,1.465,2.930
1560179499.437,-4.395,43.457,53.223,6.348,6.836
1560179499.441,-5.859,41.992,53.711,7.812,44.922
1560179499.445,-11.719,37.598,51.270,4.395,71.777
1560179499.449,-9.277,36.133,52.734,3.418,34.668
1560179499.453,-5.371,38.574,54.199,6.348,38.086
1560179499.456,2.930,44.434,51.758,8.301,58.105
1560179499.460,5.859,45.898,49.316,13.184,51.758
1560179499.464,3.418,45.898,45.898,15.625,49.805
1560179499.468,4.395,47.363,44.922,17.578,20.020
1560179499.472,9.277,48.828,49.805,13.672,40.527
1560179499.476,14.648,48.340,55.664,10.742,34.180
1560179499.480,10.742,44.922,57.129,14.648,6.348
1560179499.484,7.324,43.945,48.828,17.090,1.953
1560179499.488,11.719,44.922,44.434,20.020,44.922
1560179499.492,17.578,49.805,44.434,15.137,50.293
1560179499.496,19.531,46.875,40.527,16.113,22.461
1560179499.499,23.926,44.434,41.016,17.090,-16.602
1560179499.503,17.090,49.316,47.852,15.625,-22.461
1560179499.507,2.930,47.852,54.688,18.066,28.320
1560179499.511,3.418,48.828,58.105,8.789,-28.809
1560179499.515,5.371,47.852,57.129,9.277,-4.883
1560179499.519,1.953,45.410,52.246,13.184,57.617
1560179499.523,0.488,45.898,51.758,8.301,21.484
1560179499.527,-2.930,42.480,51.758,9.277,48.340
1560179499.531,2.441,41.504,50.293,19.043,93.750
1560179499.535,9.277,44.434,50.293,20.508,74.707
1560179499.539,2.441,45.410,49.805,12.207,67.871
1560179499.542,2.441,46.875,48.340,10.742,35.645
1560179499.546,13.184,45.410,51.270,19.043,-23.926
1560179499.550,18.066,44.434,51.270,27.344,-33.203
1560179499.554,18.066,42.969,47.363,24.902,6.836
1560179499.558,17.090,44.922,50.293,19.531,129.883
1560179499.562,10.742,46.387,49.316,12.695,133.301
1560179499.566,8.789,45.898,47.852,9.277,51.758
1560179499.570,4.883,45.410,49.805,10.742,70.312
1560179499.574,11.719,43.945,44.922,13.184,44.922
1560179499.578,14.160,43.457,39.062,11.230,24.902
1560179499.581,7.324,42.969,37.598,10.742,77.637
1560179499.585,8.301,43.945,37.109,13.672,66.895
1560179499.589,8.301,42.480,35.645,9.766,10.254
1560179499.593,8.789,41.016,36.621,14.648,51.758
1560179499.597,10.254,42.480,36.621,18.066,54.688
1560179499.601,9.766,42.969,39.551,20.996,27.832
1560179499.605,6.836,39.062,41.992,17.578,11.230
1560179499.609,3.418,37.598,46.387,18.066,12.207
1560179499.613,6.836,38.086,50.293,18.066,31.250
1560179499.617,5.371,40.527,46.875,14.160,24.414
1560179499.621,0.488,42.969,39.062,16.602,-66.895
1560179499.624,3.906,41.016,36.133,8.301,-17.090
1560179499.628,3.906,41.992,37.598,9.277,33.203
1560179499.632,6.348,42.480,34.668,13.184,-19.043
1560179499.636,12.207,41.504,32.227,16.113,4.395
1560179499.640,16.113,40.039,29.297,22.461,-18.555
1560179499.644,10.742,38.086,25.879,15.625,22.461
1560179499.648,4.883,37.598,31.738,12.207,32.227
1560179499.652,8.789,39.551,38.574,12.695,28.320
1560179499.656,18.555,42.969,36.133,15.625,13.672
1560179499.660,17.090,40.527,35.645,8.789,27.832
1560179499.664,2.930,36.621,35.156,-1.953,59.570
1560179499.667,-5.371,34.668,29.785,6.836,1.953
1560179499.671,-4.883,34.180,29.297,5.859,25.879
1560179499.675,-5.859,35.156,28.320,0.977,65.430
1560179499.679,-5.859,34.668,23.438,6.348,38.574
1560179499.683,-3.418,35.156,19.043,7.812,35.156
1560179499.687,-7.812,37.598,20.508,10.742,23.438
1560179499.691,-7.324,36.621,20.508,12.695,4.883
1560179499.695,6.348,38.574,18.555,21.484,65.918
1560179499.699,9.766,42.969,20.508,15.137,59.082
1560179499.703,-0.488,41.016,24.902,10.742,24.902
1560179499.706,4.395,41.504,23.438,18.555,66.406
1560179499.710,6.348,43.457,17.578,12.695,3.906
1560179499.714,6.348,43.457,18.066,9.766,-39.062
1560179499.718,6.348,42.480,19.043,11.719,9.277
1560179499.722,4.883,43.457,17.578,13.184,33.203
1560179499.726,2.930,42.480,21.484,5.859,29.297
1560179499.730,1.953,41.016,28.809,-6.836,50.781
1560179499.734,4.883,41.016,34.180,3.418,60.059
1560179499.738,10.254,39.062,37.598,14.648,7.812
1560179499.742,9.277,38.574,40.039,12.695,50.293
1560179499.746,4.395,42.480,40.039,11.230,63.965
1560179499.749,4.883,43.945,43.945,9.766,23.926
1560179499.753,12.207,41.992,45.898,13.672,39.062
1560179499.757,19.531,44.922,44.434,16.113,-4.395
1560179499.761,13.184,44.922,46.387,5.859,-53.711
1560179499.765,8.301,40.527,47.363,11.230,-14.648
1560179499.769,0.488,38.086,46.387,16.602,20.996
1560179499.773,1.465,35.645,47.852,20.020,12.695
1560179499.777,4.395,35.645,54.199,26.855,10.254
1560179499.781,0.488,35.156,56.152,21.973,3.418
1560179499.785,1.465,34.668,58.105,22.461,-21.484
1560179499.789,-0.977,34.668,62.500,23.926,0.000
1560179499.792,0.488,34.180,59.570,20.996,34.180
1560179499.796,2.441,34.668,57.129,17.090,106.934
1560179499.800,-1.465,36.133,48.828,15.137,78.125
1560179499.804,-6.348,36.621,39.062,10.742,20.508
1560179499.808,-7.324,34.180,37.109,9.766,22.461
1560179499.812,-7.812,33.691,32.227,6.836,33.691
1560179499.816,-13.672,33.691,31.738,-0.488,73.242
1560179499.820,-10.742,35.156,32.715,-6.836,11.230
1560179499.824,-19.043,34.180,34.180,-8.789,-25.391
1560179499.828,-30.273,33.691,39.062,-8.789,26.855
1560179499.831,-23.926,35.645,39.551,-8.789,-7.324
1560179499.835,-20.996,34.668,39.062,-7.812,38.086
1560179499.839,-14.648,35.645,37.109,-5.859,78.613
1560179499.843,-16.113,37.598,31.738,-9.766,69.824
1560179499.847,-25.391,36.133,25.391,-6.348,70.801
1560179499.851,-22.949,37.109,24.902,-3.906,2.930
1560179499.855,-15.137,36.133,23.926,-8.789,-4.395
1560179499.859,-3.906,34.668,22.461,-3.906,67.871
1560179499.863,-4.883,36.133,27.832,0.488,57.617
1560179499.867,-5.859,36.621,32.715,1.953,40.039
1560179499.871,-2.441,35.645,34.180,3.906,40.527
1560179499.874,0.488,35.645,33.691,9.277,51.270
1560179499.878,3.906,31.250,31.738,14.160,33.203
1560179499.882,3.906,31.738,29.785,16.602,-21.484
1560179499.886,0.977,32.715,35.156,16.602,48.340
1560179499.890,10.254,34.180,37.109,20.508,68.848
1560179499.894,15.137,35.645,35.156,20.996,30.762
1560179499.898,9.766,35.645,31.250,13.184,11.230
1560179499.902,10.254,36.621,20.020,15.137,-19.043
1560179499.906,8.789,37.109,14.160,13.184,27.344
1560179499.910,7.812,35.156,12.207,12.695,56.152
1560179499.913,4.395,32.227,14.160,8.789,57.617
1560179499.917,1.953,34.668,15.625,5.371,16.602
1560179499.921,0.000,34.668,15.137,10.742,0.000
