timestamps,TP9,AF7,AF8,TP10,Right AUX
1560169123.161,-0.488,29.785,17.578,-6.836,62.500
1560169123.164,6.348,27.832,13.672,-2.441,24.414
1560169123.168,41.992,26.367,11.719,35.156,36.133
1560169123.172,33.203,25.879,12.695,29.297,84.473
1560169123.176,-4.395,23.926,10.742,-10.254,73.242
1560169123.180,-12.207,22.949,11.719,-15.625,12.207
1560169123.184,-2.930,22.949,15.137,-2.441,33.691
1560169123.188,33.203,24.414,14.160,35.156,69.824
1560169123.192,38.086,25.879,15.137,37.598,23.438
1560169123.196,4.883,27.344,17.090,-3.418,3.418
1560169123.200,0.000,28.809,15.625,-12.695,28.809
1560169123.204,11.230,29.785,15.625,-3.906,10.254
1560169123.207,42.969,30.273,17.090,30.762,1.465
1560169123.211,50.293,29.297,17.578,39.551,35.156
1560169123.215,15.137,28.809,14.648,2.441,33.691
1560169123.219,-3.418,28.320,12.695,-12.695,25.391
1560169123.223,-3.906,27.344,15.625,-12.207,36.621
1560169123.227,30.273,28.320,17.578,17.090,38.086
1560169123.231,45.898,28.320,14.648,35.645,11.230
1560169123.235,11.230,25.391,16.602,5.859,48.340
1560169123.239,-2.930,25.879,20.020,-14.160,69.824
1560169123.243,-3.906,25.879,18.555,-7.324,49.316
1560169123.247,26.367,24.414,19.531,30.273,36.621
1560169123.250,49.316,28.320,20.508,43.457,27.344
1560169123.254,16.602,29.785,18.066,10.742,10.742
1560169123.258,3.906,28.320,12.695,-0.488,10.742
1560169123.262,2.930,31.738,14.160,-2.930,32.227
1560169123.266,28.809,31.738,11.719,20.996,49.805
1560169123.270,62.012,30.273,9.766,46.387,35.645
1560169123.274,25.391,31.250,13.672,14.160,-6.348
1560169123.278,1.465,30.273,14.648,-11.230,55.176
1560169123.282,1.953,29.297,13.672,-9.766,35.645
1560169123.286,18.555,28.320,12.695,16.602,33.203
1560169123.289,49.805,28.809,11.719,48.828,46.875
1560169123.293,26.855,30.762,10.742,20.996,0.488
1560169123.297,-1.953,33.203,9.277,-6.836,5.859
1560169123.301,-3.906,32.715,8.789,-6.836,84.473
1560169123.305,17.090,29.297,8.789,9.766,73.242
1560169123.309,50.293,29.297,11.230,49.316,27.344
1560169123.313,26.855,29.297,15.137,29.785,70.312
1560169123.317,-4.883,26.367,12.207,-5.859,102.539
1560169123.321,-6.348,21.973,11.719,-3.906,48.828
1560169123.325,3.906,20.020,13.672,7.324,-13.672
1560169123.329,41.016,21.484,13.184,43.945,-7.324
1560169123.332,33.691,22.461,17.578,32.227,20.020
1560169123.336,5.371,24.902,19.531,0.488,12.207
1560169123.340,2.930,25.391,18.066,-7.324,29.297
1560169123.344,10.254,26.855,14.160,2.441,30.762
1560169123.348,46.875,28.809,10.742,36.621,21.484
1560169123.352,41.992,27.344,9.766,22.461,50.781
1560169123.356,8.789,27.832,10.742,-13.672,24.902
1560169123.360,1.465,26.367,9.766,-20.020,-31.250
1560169123.364,4.883,22.949,12.207,-5.371,-35.156
1560169123.368,38.086,23.926,14.648,31.738,-21.484
1560169123.371,38.574,24.414,13.184,27.344,-30.762
1560169123.375,-5.859,21.973,13.184,-6.348,17.090
1560169123.379,-20.020,22.461,12.695,-12.207,40.527
1560169123.383,-11.719,23.438,9.277,-10.254,6.836
1560169123.387,22.949,23.438,9.766,20.020,38.574
1560169123.391,32.227,25.391,10.254,35.156,78.125
1560169123.395,-4.395,24.902,8.301,-0.977,83.984
1560169123.399,-15.625,24.414,8.789,-18.066,68.848
1560169123.403,-2.441,26.855,10.254,-12.207,38.574
1560169123.407,34.668,28.320,9.277,23.926,-2.930
1560169123.411,50.781,29.297,9.277,44.434,18.066
1560169123.414,20.020,27.832,13.184,13.672,52.734
1560169123.418,1.953,25.879,14.648,3.418,18.555
1560169123.422,-4.395,25.879,13.672,1.465,-12.695
1560169123.426,20.996,26.367,14.160,25.391,-26.855
1560169123.430,44.434,27.832,13.672,44.434,5.371
1560169123.434,10.254,28.809,20.508,9.766,0.488
1560169123.438,-16.602,28.809,21.973,-12.695,-10.742
1560169123.442,-19.531,25.879,17.578,-6.836,20.020
1560169123.446,4.395,23.926,18.066,14.160,118.164
1560169123.450,38.574,25.391,17.578,32.227,104.004
1560169123.454,15.137,28.320,14.648,14.648,10.254
1560169123.457,-7.324,29.297,14.648,2.441,-12.207
